date,request,Lended_Amount,Repaid_Amount,Locked_Amount
2021-05-09,108,192467.78999999998,51838.917,140628.87299999996
2021-05-10,315,602685.3500000002,226776.83600000004,375908.5140000002
2021-05-11,258,510779.8299999999,159205.70899999997,351574.1209999999
2021-05-12,253,474790.22999999986,141869.03899999996,332921.1909999999
2021-05-13,281,518592.7499999996,150441.26499999998,368151.48499999964
2021-05-14,237,458454.22000000003,168810.33000000002,289643.89
2021-05-15,141,210855.8000000001,84456.411,126399.38900000011
2021-05-16,110,183913.13,38001.678,145911.452
2021-05-17,320,605244.3600000001,180562.30400000003,424682.0560000001
2021-05-18,272,515571.1600000001,199666.818,315904.34200000006
2021-05-19,310,564878.6300000001,175285.86399999997,389592.7660000002
2021-05-20,275,491802.2900000001,146655.34000000008,345146.95
2021-05-21,266,491571.96,185366.41500000004,306205.545
2021-05-22,158,260219.55,102724.90800000001,157494.642
2021-05-23,92,120952.70000000003,33637.877,87314.82300000003
2021-05-24,134,238514.24000000014,68089.98300000001,170424.25700000013
2021-05-25,284,519979.37,164138.41599999994,355840.954
2021-05-26,238,419396.67999999993,152915.25600000005,266481.4239999999
2021-05-27,332,695682.6699999998,192290.79999999996,503391.8699999999
2021-05-28,312,544967.1599999999,186361.929,358605.2309999999
2021-05-29,158,261933.59999999995,91189.68299999999,170743.91699999996
2021-05-30,116,210163.43999999997,57536.869,152626.57099999997
2021-05-31,325,578839.4500000001,226356.44199999998,352483.0080000001
2021-06-01,267,483636.9800000001,189526.14200000002,294110.8380000001
2021-06-02,290,523663.42000000074,190752.991,332910.4290000007
2021-06-03,241,470740.9099999999,158273.47899999996,312467.431
2021-06-04,215,381852.3700000003,149303.68699999995,232548.68300000034
2021-06-05,147,268600.33,72587.42399999998,196012.90600000002
2021-06-06,115,213281.56999999995,46123.41499999999,167158.15499999997
2021-06-07,283,526284.9799999997,176751.95200000005,349533.0279999997
2021-06-08,269,501618.29000000004,138372.039,363246.25100000005
2021-06-09,286,510187.6700000001,191979.85299999997,318207.81700000016
2021-06-10,257,449883.01999999996,179030.774,270852.2459999999
2021-06-11,270,455146.29999999964,182941.733,272204.56699999963
2021-06-12,174,285008.2799999999,105509.625,179498.6549999999
2021-06-13,108,215905.66,39902.810999999994,176002.84900000002
2021-06-14,282,491486.6600000002,165773.98499999996,325712.6750000003
2021-06-15,259,512844.68000000017,175524.14099999997,337320.5390000002
2021-06-16,249,464200.23999999993,170916.226,293284.01399999997
2021-06-17,214,376525.43000000017,118938.573,257586.85700000016
