Date,Good,Bad,Good_rate,Bad_rate
2021-10-12,504,11,0.9786407766990292,0.021359223300970873
2021-10-13,303,8,0.9742765273311897,0.02572347266881029
2021-10-14,285,7,0.976027397260274,0.023972602739726026
2021-10-15,270,11,0.9608540925266904,0.03914590747330961
2021-10-16,152,4,0.9743589743589743,0.02564102564102564
2021-10-17,139,4,0.972027972027972,0.027972027972027972
2021-10-18,309,16,0.9507692307692308,0.04923076923076923
2021-10-19,258,10,0.9626865671641791,0.03731343283582089
2021-10-20,280,9,0.9688581314878892,0.031141868512110725
2021-10-21,343,10,0.9716713881019831,0.028328611898016998
2021-10-22,252,9,0.9655172413793104,0.034482758620689655
2021-10-23,138,5,0.965034965034965,0.03496503496503497
2021-10-24,124,1,0.992,0.008
2021-10-25,338,14,0.9602272727272727,0.03977272727272727
2021-10-26,283,14,0.9528619528619529,0.04713804713804714
2021-10-27,300,7,0.9771986970684039,0.02280130293159609
2021-10-28,256,10,0.9624060150375939,0.03759398496240601
2021-10-29,299,6,0.980327868852459,0.019672131147540985
2021-10-30,153,5,0.9683544303797469,0.03164556962025317
2021-10-31,127,3,0.9769230769230769,0.023076923076923078
2021-11-01,253,11,0.9583333333333334,0.041666666666666664
2021-11-02,248,9,0.9649805447470817,0.03501945525291829
2021-11-03,255,7,0.9732824427480916,0.026717557251908396
2021-11-04,264,10,0.9635036496350365,0.0364963503649635
2021-11-05,285,11,0.9628378378378378,0.037162162162162164
2021-11-06,133,1,0.9925373134328358,0.007462686567164179
2021-11-07,105,2,0.9813084112149533,0.018691588785046728
2021-11-08,298,16,0.9490445859872612,0.050955414012738856
2021-11-09,250,17,0.9363295880149812,0.06367041198501873
2021-11-10,260,15,0.9454545454545454,0.05454545454545454
2021-11-11,249,8,0.9688715953307393,0.0311284046692607
2021-11-12,221,15,0.9364406779661016,0.0635593220338983
2021-11-13,137,4,0.9716312056737588,0.028368794326241134
2021-11-14,122,2,0.9838709677419355,0.016129032258064516
2021-11-15,285,16,0.946843853820598,0.053156146179401995
2021-11-16,270,7,0.9747292418772563,0.02527075812274368
2021-11-17,274,9,0.9681978798586572,0.03180212014134275
2021-11-18,240,13,0.9486166007905138,0.05138339920948617
2021-11-19,262,5,0.9812734082397003,0.018726591760299626
2021-11-20,175,8,0.9562841530054644,0.04371584699453552
2021-11-21,139,5,0.9652777777777778,0.034722222222222224
2021-11-22,289,10,0.9665551839464883,0.033444816053511704
2021-11-23,341,11,0.96875,0.03125
2021-11-24,285,9,0.9693877551020408,0.030612244897959183
2021-11-25,376,12,0.9690721649484536,0.030927835051546393
2021-11-26,307,16,0.9504643962848297,0.04953560371517028
2021-11-27,213,4,0.9815668202764977,0.018433179723502304
2021-11-28,138,2,0.9857142857142858,0.014285714285714285
2021-11-29,323,15,0.9556213017751479,0.04437869822485207
2021-11-30,296,15,0.9517684887459807,0.04823151125401929
2021-12-01,258,12,0.9555555555555556,0.044444444444444446
2021-12-02,272,8,0.9714285714285714,0.02857142857142857
2021-12-03,298,3,0.9900332225913622,0.009966777408637873
2021-12-04,177,3,0.9833333333333333,0.016666666666666666
2021-12-05,150,2,0.9868421052631579,0.013157894736842105
2021-12-06,286,17,0.9438943894389439,0.056105610561056105
2021-12-07,356,14,0.9621621621621622,0.03783783783783784
2021-12-08,300,10,0.967741935483871,0.03225806451612903
2021-12-09,302,11,0.9648562300319489,0.03514376996805112
2021-12-10,312,9,0.9719626168224299,0.028037383177570093
2021-12-11,178,11,0.9417989417989417,0.0582010582010582
2021-12-12,130,6,0.9558823529411765,0.04411764705882353
2021-12-13,355,15,0.9594594594594594,0.04054054054054054
2021-12-14,360,16,0.9574468085106383,0.0425531914893617
2021-12-15,315,15,0.9545454545454546,0.045454545454545456
2021-12-16,346,11,0.969187675070028,0.03081232492997199
2021-12-17,279,11,0.9620689655172414,0.03793103448275862
2021-12-18,184,7,0.9633507853403142,0.03664921465968586
2021-12-19,135,1,0.9926470588235294,0.007352941176470588
2021-12-20,541,14,0.9747747747747748,0.025225225225225224
2021-12-21,411,16,0.9625292740046838,0.03747072599531616
2021-12-22,401,14,0.9662650602409638,0.033734939759036145
2021-12-23,320,17,0.9495548961424333,0.050445103857566766
2021-12-24,135,4,0.9712230215827338,0.02877697841726619
2021-12-25,57,0,1,0
2021-12-26,118,5,0.959349593495935,0.04065040650406504
2021-12-27,226,9,0.9617021276595744,0.03829787234042553
2021-12-28,233,6,0.9748953974895398,0.02510460251046025
2021-12-29,399,13,0.9684466019417476,0.03155339805825243
2021-12-30,357,13,0.9648648648648649,0.03513513513513514
2021-12-31,198,8,0.9611650485436893,0.038834951456310676
2022-01-01,49,0,1,0
2022-01-02,109,5,0.956140350877193,0.043859649122807015
2022-01-03,186,6,0.96875,0.03125
2022-01-04,296,11,0.9641693811074918,0.035830618892508145
2022-01-05,286,12,0.959731543624161,0.040268456375838924
2022-01-06,248,8,0.96875,0.03125
2022-01-07,264,6,0.9777777777777777,0.022222222222222223
2022-01-08,159,3,0.9814814814814815,0.018518518518518517
2022-01-09,103,3,0.9716981132075472,0.02830188679245283
2022-01-10,300,11,0.9646302250803859,0.03536977491961415
2022-01-11,257,11,0.9589552238805971,0.041044776119402986
2022-01-12,286,14,0.9533333333333334,0.04666666666666667
2022-01-13,264,11,0.96,0.04
2022-01-14,269,13,0.9539007092198581,0.04609929078014184
2022-01-15,153,2,0.9870967741935484,0.012903225806451613
2022-01-16,117,2,0.9831932773109243,0.01680672268907563
2022-01-17,289,16,0.9475409836065574,0.05245901639344262
2022-01-18,284,12,0.9594594594594594,0.04054054054054054
2022-01-19,303,12,0.9619047619047619,0.0380952380952381
2022-01-20,316,10,0.9693251533742331,0.03067484662576687
2022-01-21,303,15,0.9528301886792453,0.04716981132075472
2022-01-22,180,5,0.972972972972973,0.02702702702702703
2022-01-23,113,0,1,0
2022-01-24,347,17,0.9532967032967034,0.046703296703296704
2022-01-25,309,20,0.939209726443769,0.060790273556231005
2022-01-26,334,18,0.9488636363636364,0.05113636363636364
2022-01-27,305,18,0.9442724458204335,0.05572755417956656
2022-01-28,315,15,0.9545454545454546,0.045454545454545456
2022-01-29,153,4,0.9745222929936306,0.025477707006369428
2022-01-30,140,3,0.9790209790209791,0.02097902097902098
2022-01-31,317,21,0.9378698224852071,0.0621301775147929
2022-02-01,280,9,0.9688581314878892,0.031141868512110725
2022-02-02,304,4,0.987012987012987,0.012987012987012988
2022-02-03,277,11,0.9618055555555556,0.03819444444444445
2022-02-04,296,16,0.9487179487179487,0.05128205128205128
2022-02-05,174,3,0.9830508474576272,0.01694915254237288
2022-02-06,113,1,0.9912280701754386,0.008771929824561403
2022-02-07,296,17,0.9456869009584664,0.054313099041533544
2022-02-08,319,20,0.9410029498525073,0.058997050147492625
2022-02-09,301,11,0.9647435897435898,0.035256410256410256
2022-02-10,302,16,0.949685534591195,0.050314465408805034
2022-02-11,265,10,0.9636363636363636,0.03636363636363636
2022-02-12,169,7,0.9602272727272727,0.03977272727272727
2022-02-13,122,4,0.9682539682539683,0.031746031746031744
2022-02-14,286,13,0.9565217391304348,0.043478260869565216
2022-02-15,248,11,0.9575289575289575,0.04247104247104247
2022-02-16,290,9,0.9698996655518395,0.030100334448160536
2022-02-17,280,17,0.9427609427609428,0.05723905723905724
2022-02-18,282,8,0.9724137931034482,0.027586206896551724
2022-02-19,166,3,0.9822485207100592,0.01775147928994083
2022-02-20,111,5,0.9568965517241379,0.04310344827586207
2022-02-21,318,17,0.9492537313432836,0.050746268656716415
2022-02-22,306,12,0.9622641509433962,0.03773584905660377
2022-02-23,325,19,0.9447674418604651,0.055232558139534885
2022-02-24,320,13,0.960960960960961,0.03903903903903904
2022-02-25,276,12,0.9583333333333334,0.041666666666666664
2022-02-26,161,8,0.9526627218934911,0.047337278106508875
2022-02-27,94,4,0.9591836734693877,0.04081632653061224
2022-02-28,341,8,0.9770773638968482,0.022922636103151862
2022-03-01,249,14,0.9467680608365019,0.053231939163498096
2022-03-02,274,11,0.9614035087719298,0.03859649122807018
2022-03-03,171,8,0.9553072625698324,0.0446927374301676
2022-03-04,289,13,0.956953642384106,0.04304635761589404
2022-03-05,137,3,0.9785714285714285,0.02142857142857143
2022-03-06,106,2,0.9814814814814815,0.018518518518518517
2022-03-07,326,12,0.9644970414201184,0.03550295857988166
2022-03-08,308,22,0.9333333333333333,0.06666666666666667
2022-03-09,271,10,0.9644128113879004,0.03558718861209965
2022-03-10,363,14,0.9628647214854111,0.03713527851458886
2022-03-11,356,15,0.9595687331536388,0.04043126684636118
2022-03-12,195,7,0.9653465346534653,0.034653465346534656
2022-03-13,144,4,0.972972972972973,0.02702702702702703
2022-03-14,355,16,0.9568733153638814,0.0431266846361186
2022-03-15,332,15,0.9567723342939481,0.043227665706051875
2022-03-16,338,16,0.9548022598870056,0.04519774011299435
2022-03-17,423,17,0.9613636363636363,0.038636363636363635
2022-03-18,372,16,0.9587628865979382,0.041237113402061855
2022-03-19,201,7,0.9663461538461539,0.03365384615384615
2022-03-20,157,1,0.9936708860759493,0.006329113924050633
2022-03-21,385,15,0.9625,0.0375
2022-03-22,369,12,0.968503937007874,0.031496062992125984
2022-03-23,353,14,0.9618528610354223,0.03814713896457766
2022-03-24,332,15,0.9567723342939481,0.043227665706051875
2022-03-25,285,8,0.9726962457337884,0.027303754266211604
2022-03-26,173,8,0.9558011049723757,0.04419889502762431
2022-03-27,128,0,1,0
2022-03-28,334,9,0.9737609329446064,0.026239067055393587
2022-03-29,307,19,0.941717791411043,0.05828220858895705
2022-03-30,350,12,0.9668508287292817,0.03314917127071823
2022-03-31,298,15,0.952076677316294,0.04792332268370607
2022-04-01,275,14,0.9515570934256056,0.04844290657439446
2022-04-02,157,7,0.9573170731707317,0.042682926829268296
2022-04-03,116,2,0.9830508474576272,0.01694915254237288
2022-04-04,285,7,0.976027397260274,0.023972602739726026
2022-04-05,296,12,0.961038961038961,0.03896103896103896
2022-04-06,253,7,0.9730769230769231,0.026923076923076925
2022-04-07,247,11,0.9573643410852714,0.04263565891472868
2022-04-08,267,15,0.9468085106382979,0.05319148936170213
2022-04-09,188,5,0.9740932642487047,0.025906735751295335
2022-04-10,140,2,0.9859154929577465,0.014084507042253521
2022-04-11,299,11,0.964516129032258,0.035483870967741936
2022-04-12,280,11,0.9621993127147767,0.037800687285223365
2022-04-13,312,12,0.9629629629629629,0.037037037037037035
2022-04-14,326,7,0.978978978978979,0.021021021021021023
2022-04-15,309,13,0.9596273291925466,0.040372670807453416
2022-04-16,176,3,0.9832402234636871,0.01675977653631285
2022-04-17,115,5,0.9583333333333334,0.041666666666666664
2022-04-18,397,21,0.9497607655502392,0.050239234449760764
2022-04-19,469,15,0.96900826446281,0.030991735537190084
2022-04-20,371,15,0.961139896373057,0.038860103626943004
2022-04-21,357,14,0.9622641509433962,0.03773584905660377
2022-04-22,206,5,0.976303317535545,0.023696682464454975
2022-04-23,147,4,0.9735099337748344,0.026490066225165563
2022-04-24,57,1,0.9827586206896551,0.017241379310344827
2022-04-25,206,4,0.9809523809523809,0.01904761904761905
2022-04-26,391,15,0.9630541871921182,0.03694581280788178
2022-04-27,388,13,0.9675810473815462,0.032418952618453865
2022-04-28,345,17,0.9530386740331491,0.04696132596685083
2022-04-29,368,18,0.9533678756476683,0.046632124352331605
2022-04-30,191,5,0.9744897959183674,0.025510204081632654
2022-05-01,130,0,1,0
2022-05-02,171,5,0.9715909090909091,0.028409090909090908
2022-05-03,383,19,0.9527363184079602,0.0472636815920398
2022-05-04,298,9,0.9706840390879479,0.029315960912052116
2022-05-05,357,13,0.9648648648648649,0.03513513513513514
2022-05-06,168,8,0.9545454545454546,0.045454545454545456
2022-05-07,149,6,0.9612903225806452,0.03870967741935484
