date,REJECT,APPLICANT,APPROVED,NTU,ACCEPT
2022-01-13,92,214,122,26,96
2022-01-14,72,214,142,26,116
2022-01-15,63,133,70,17,53
2022-01-16,57,102,45,8,37
2022-01-17,102,240,138,21,117
2022-01-18,108,234,126,20,106
2022-01-19,111,252,141,26,115
2022-01-20,117,265,148,28,120
2022-01-21,109,255,146,33,113
2022-01-22,74,153,79,15,64
2022-01-23,41,78,37,8,29
2022-01-24,126,290,164,38,126
2022-01-25,113,258,145,25,120
2022-01-26,126,281,155,37,118
2022-01-27,122,273,151,23,128
2022-01-28,108,261,153,31,122
2022-01-29,71,132,61,16,45
2022-01-30,72,120,48,11,37
2022-01-31,125,276,151,25,126
2022-02-01,96,218,122,16,106
2022-02-02,112,243,131,27,104
2022-02-03,99,224,125,23,102
2022-02-04,93,259,166,43,123
2022-02-05,78,156,78,18,60
2022-02-06,54,99,45,10,35
2022-02-07,116,246,130,32,98
2022-02-08,103,264,161,32,129
2022-02-09,107,241,134,25,109
2022-02-10,106,254,148,28,120
2022-02-11,81,228,147,23,124
2022-02-12,72,141,69,10,59
2022-02-13,52,104,52,10,42
2022-02-14,114,242,128,26,102
2022-02-15,80,199,119,24,95
2022-02-16,118,253,135,18,117
2022-02-17,103,237,134,26,108
2022-02-18,95,241,146,30,116
2022-02-19,61,138,77,21,56
2022-02-20,48,96,48,11,37
2022-02-21,120,281,161,30,131
2022-02-22,121,256,135,24,111
2022-02-23,115,274,159,30,129
2022-02-24,127,274,147,32,115
2022-02-25,97,236,139,25,114
2022-02-26,83,151,68,18,50
2022-02-27,32,70,38,8,30
2022-02-28,120,261,141,22,119
2022-03-01,98,213,115,26,89
2022-03-02,95,223,128,24,104
2022-03-03,65,141,76,7,69
2022-03-04,119,254,135,23,112
2022-03-05,71,120,49,10,39
2022-03-06,41,82,41,8,33
2022-03-07,130,261,131,12,119
2022-03-08,127,267,140,36,104
2022-03-09,86,202,116,25,91
2022-03-10,157,305,148,41,107
2022-03-11,152,313,161,43,118
2022-03-12,92,169,77,13,64
2022-03-13,54,115,61,15,46
2022-03-14,134,299,165,28,137
2022-03-15,118,265,147,30,117
2022-03-16,134,289,155,38,117
2022-03-17,193,353,160,26,134
2022-03-18,150,313,163,31,132
2022-03-19,96,167,71,14,57
2022-03-20,71,130,59,19,40
2022-03-21,158,316,158,33,125
2022-03-22,147,290,143,34,109
2022-03-23,132,290,158,30,128
2022-03-24,134,287,153,28,125
2022-03-25,113,242,129,24,105
2022-03-26,65,141,76,22,54
2022-03-27,51,101,50,12,38
2022-03-28,118,272,154,39,115
2022-03-29,107,262,155,34,121
2022-03-30,138,275,137,23,114
2022-03-31,121,261,140,31,109
2022-04-01,107,235,128,32,96
2022-04-02,57,129,72,11,61
2022-04-03,61,100,39,9,30
2022-04-04,106,234,128,29,99
2022-04-05,117,252,135,25,110
2022-04-06,96,211,115,24,91
2022-04-07,101,209,108,22,86
2022-04-08,104,228,124,22,102
2022-04-09,80,157,77,9,68
2022-04-10,57,107,50,16,34
2022-04-11,129,254,125,26,99
2022-04-12,103,241,138,34,104
2022-04-13,92,242,150,43,107
2022-04-14,116,260,144,29,115
2022-04-15,112,272,160,28,132
2022-04-16,65,153,88,17,71
2022-04-17,48,94,46,18,28
2022-04-18,151,342,191,45,146
2022-04-19,225,396,171,45,126
2022-04-20,131,307,176,35,141
2022-04-21,118,285,167,28,139
2022-04-22,93,169,76,28,48
2022-04-23,48,126,78,18,60
2022-04-24,38,48,10,6,4
2022-04-25,101,174,73,20,53
2022-04-26,148,314,166,28,138
2022-04-27,151,323,172,37,135
2022-04-28,135,299,164,25,139
2022-04-29,124,312,188,32,156
2022-04-30,78,159,81,27,54
2022-05-01,63,107,44,13,31
2022-05-02,71,139,68,21,47
2022-05-03,132,324,192,44,148
2022-05-04,88,236,148,32,116
2022-05-05,130,297,167,39,128
2022-05-06,75,151,76,16,60
2022-05-07,64,125,61,13,48
2022-05-08,57,99,42,11,31
2022-05-09,126,265,139,34,105
2022-05-10,145,323,178,36,142
2022-05-11,125,267,142,33,109
2022-05-12,124,289,165,31,134
2022-05-13,130,262,132,26,106
2022-05-14,71,166,95,18,77
2022-05-15,62,102,40,11,29
2022-05-16,138,292,154,34,120
2022-05-17,195,373,178,54,124
2022-05-18,120,267,147,42,105
2022-05-19,115,296,181,37,144
2022-05-20,103,263,160,35,125
2022-05-21,94,179,85,15,70
2022-05-22,61,118,57,18,39
2022-05-23,145,335,190,31,159
2022-05-24,81,156,75,18,57
2022-05-25,124,291,167,35,132
2022-05-26,123,296,173,34,139
2022-05-27,108,257,149,28,121
2022-05-28,82,159,77,19,58
2022-05-29,67,132,65,16,49
2022-05-30,139,341,202,43,159
2022-05-31,162,345,183,38,145
2022-06-01,118,253,135,29,106
2022-06-02,107,240,133,23,110
2022-06-03,123,265,142,36,106
2022-06-04,86,172,86,28,58
2022-06-05,52,110,58,17,41
2022-06-06,98,246,148,26,122
2022-06-07,121,246,125,33,92
2022-06-08,122,259,137,36,101
